Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,CPU_count,Goodput,Memory_total,Memory_used,NIC_speed,Packet_losses,Storage_count,network_throughput,num_workers,,
31:53.7,0,2353158281,4.857866667,5.214,12,1323786381,8589934592,493019136,1E+11,43.93333333,8,2318067865,100,,2180029172
32:08.7,0,2052771021,4.217066667,4.676666667,12,3029216197,8589934592,493027328,1E+11,44.86666667,8,2153637580,100,,5746584414
32:23.7,0,2195733982,4.578533333,4.949333333,12,1546480572,8589934592,493027328,1E+11,62.66666667,8,2174575188,100,,2702141422
32:38.7,0,1683978923,3.928466667,4.386666667,12,1516816555,8589934592,495165440,1E+11,51.73333333,8,1647110740,100,,3088872445
32:53.7,0,2041916075,3.9932,4.47,12,2327150592,8589934592,495165440,1E+11,46.33333333,8,2052292910,100,,4662226970
33:08.7,0,2388477250,4.760095484,5.346329819,12,2237604114,8589934592,493465600,1E+11,49.59883297,8,2513065230,100,,3760603747
33:23.7,0,2313933308,4.594851857,5.101488135,12,2216629353,8589934592,493465600,1E+11,43.77262368,8,2272721509,100,,3859326780
33:38.7,0,1834176512,3.778933333,4.330666667,12,2673722436,8589934592,493985792,1E+11,42.33333333,8,1885425083,100,,5660269077
33:53.7,0,2978563635,5.368042131,5.76214919,12,2278520653,8589934592,493985792,1E+11,41.86387574,8,3014696653,100,,3395682221
34:08.7,0,2079981516,4.395359691,4.753783586,12,2326464371,8589934592,493690880,1E+11,44.20294686,8,2017139252,100,,4234400886
34:23.7,0,2374652425,4.594875848,5.007837713,12,2184219032,8589934592,493690880,1E+11,53.28327735,8,2484668473,100,,3802877996
34:38.7,0,2271783183,4.386286948,4.86799838,12,2590029778,8589934592,494108672,1E+11,47.98218383,8,2292458439,100,,4723867469
34:53.7,0,2258469137,4.524533333,4.946,12,2436577999,8589934592,494108672,1E+11,63.2,8,2191930523,100,,4308206516
35:08.7,0,1877728188,3.701933333,4.363333333,12,1992910589,8589934592,484073472,1E+11,36,8,1927297468,100,,4306745496
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,27757.52444
